Smiles,CYP1A2,CYP2A6,CYP2B6,CYP2C8,CYP2C9,CYP2C19,CYP2D6,CYP2E1,CYP3A4
CN1CC[C@@]23c4c5ccc(O)c4O[C@@H]2C(=O)CC[C@@H]3[C@@H]1C5,0,0,0,0,1,0,1,0,1
COc1ccccc1C(C)=O,0,1,0,0,0,0,0,0,0
CCc1ccc(CCOc2ccc(C[C@H]3SC(=O)NC3=O)cc2)nc1,0,0,0,1,0,1,0,0,1
Cc1ccccc1C,0,0,0,0,0,0,0,1,0
CN(C)C[C@@H]1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO1,0,0,0,0,0,0,0,0,1
COc1ccc(C(=O)Nc2c(Cl)cncc2Cl)cc1OC1CCCC1,0,0,1,0,0,0,0,0,0
C=C(C)c1ccc(OC)c(CN[C@H]2C3CCN(CC3)[C@@H]2C(c2ccccc2)c2ccccc2)c1,0,0,0,0,0,0,1,0,1
CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1[C@@H](O)C=C(C)C[C@@H]21,1,1,0,1,1,0,0,0,1
CC[C@]1(C)CC(=O)NC1=O,0,0,0,0,0,0,0,1,1
CC[C@H](N)Cc1ccc2c(c1)OCO2,0,0,0,0,0,1,1,0,1
c1ccc2c(c1)ccc1nc3ccc4ccccc4c3cc12,1,0,0,0,0,0,0,0,1
CN(C)Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,0,0,0,0,0,1,0,0,1
C[C@H]1[C@@H](OCc2ccc(C(=O)O)cc2)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,0,0,0,0,0,0,0,0,1
CCCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C,0,0,0,0,0,1,1,0,1
CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,0,0,1,1,1,1,0,0,1
COc1ccc(-c2cc(=O)c3c(O)c(OC)c(O)cc3o2)cc1OC,1,0,0,1,1,1,1,1,0
O=c1c(O)c(-c2ccccc2)oc2cc(O)cc(O)c12,1,0,0,0,1,0,0,0,0
CCN(C=O)CC,0,0,0,0,0,0,0,0,1
Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1,0,0,0,1,0,0,0,0,1
Cn1cc(S(C)=O)c(=O)c2ccc(F)cc21,0,0,0,0,0,0,0,0,1
COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@H](NC(C)=O)CC2,0,0,0,0,0,0,0,0,1
Clc1cccc(N2CCNCC2)c1,0,0,0,0,0,0,1,0,0
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=O)C(C)(C)CCC1,1,0,0,1,1,1,1,0,1
COc1ccc2[nH]cc(CCN)c2c1,0,0,0,0,0,0,1,0,0
CCC[C@@H]1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,0,0,0,0,0,0,0,0,1
CCCCN(CCCC)N=O,0,1,0,0,0,0,0,1,0
Nc1ncnc2c1ncn2CCOC[P@]1(=O)OCC[C@@H](c2cccc(Cl)c2)O1,0,0,0,0,0,0,0,0,1
CC[C@@H](OC(C)=O)C(C[C@@H](C)N(C)C)(c1ccccc1)c1ccccc1,0,0,1,1,0,1,0,0,1
COc1ccc([C@@H](CN(C)C)C2(O)CCCCC2)cc1,0,0,0,0,1,1,1,0,1
COc1cc(C(C)=O)ccc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1,1,0,0,0,0,0,1,1,1
CCCCC/C=C/C/C=C/CCCCCCCC(=O)O,1,0,0,0,1,1,0,1,1
Cc1ccccc1-n1c(C)nc2ccccc2c1=O,0,0,0,0,0,0,0,0,1
Clc1ccccc1CN1CCc2sccc2C1,1,0,0,1,1,1,1,0,1
CC(C)/N=C(N)/N=C(\N)Nc1ccc(Cl)c(Cl)c1,0,0,0,0,0,1,0,0,0
CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)O)C(C)(C)CCC1,1,1,1,1,1,1,1,1,1
CN1[C@@H]2CC[C@H]1C[C@@H](NC(=O)c1cc(Cl)cc3c1OC(C)(C)C3)C2,0,0,0,0,0,0,0,0,1
CCCCc1nc(Cl)c(C=O)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,0,0,0,0,1,0,0,0,1
Cc1c(OCC(F)(F)F)ccnc1C[S@@](=O)c1nc2ccccc2[nH]1,0,0,0,0,1,1,0,0,1
c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12,1,0,1,1,1,0,0,1,1
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,0,0,1,0,1,1,0,0,1
CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1,0,0,0,0,0,0,1,0,1
[N:1]1([CH3:11])[CH2:6][CH2:8][CH:10]=[C:9]([c:12]2[n:3][n:2]([CH2:13][CH3:14])[n:5][n:4]2)[CH2:7]1,1,1,0,0,0,1,1,0,0
Cc1ccc(C(=O)[C@H](C)CN2CCCCC2)cc1,1,0,1,0,0,1,1,0,0
C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@H]2C3=O)O1,0,0,0,0,0,0,0,0,1
C[C@@H](c1cc2ccccc2s1)N(O)C(N)=O,1,0,0,0,1,0,0,1,1
CCc1cccc(CC)c1N(COC)C(=O)CCl,0,0,1,0,0,0,0,0,1
CCN(CC)S(=O)(=O)N[C@H]1C[C@@H]2c3cccc4c3c(cn4CC)C[C@H]2N(C)C1,0,0,0,0,0,0,0,0,1
CN(C)CCc1c[nH]c2ccc(C[C@H]3COC(=O)N3)cc12,1,0,0,0,0,0,0,0,0
CCC[C@@H]1O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)CC[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(SC)O1,0,0,0,0,0,0,0,0,1
CC1=CC[C@@H]2[C@H](C1)C2(C)C,1,0,1,0,0,1,1,0,0
C[C@@H](O[C@H]1OCCN(Cc2n[nH]c(=O)[nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,1,0,0,0,0,1,0,0,1
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,1,0,1,0,1,1,1,0,0
CN1C(=O)NC(=O)[C@](C)(C2=CCCCC2)C1=O,0,0,0,0,0,1,0,0,0
CN[C@H](C)Cc1ccc(OC)cc1,0,0,0,0,0,0,1,0,0
COc1ccc(NS(=O)(=O)C(F)(F)F)cc1C[C@@H]1COc2ccc(OCc3nc4cc(F)c(F)cc4s3)cc2[C@@H]1O,0,0,0,0,0,0,0,0,1
CN1CCC[C@@H]1C[C@@H]1CNc2ccc(CCS(=O)(=O)c3ccccc3)cc21,1,0,0,1,1,1,1,0,1
O=c1cc(C(F)(F)F)c2ccc(OCc3ccccc3)cc2o1,1,0,1,0,1,1,0,0,1
CNC(=O)Oc1cccc2ccccc12,1,0,1,0,0,1,0,0,1
O=NN1CCCC1,0,1,0,0,0,0,0,1,0
c1ccc2[nH]ccc2c1,0,1,0,0,0,1,0,1,0
Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,1,0,0,0,0,0,0,0,0
COc1ccc2[nH]cc(CCN(C)C)c2c1,0,0,0,0,0,0,1,0,0
CC(=O)N[C@@H](CS/C(F)=C(/OCF)C(F)F)C(=O)O,0,0,0,0,0,0,0,0,1
Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(COc1ccc(C[C@@H]3SC(=O)NC3=O)cc1)O2,1,0,1,1,0,1,1,1,1
Cc1ccccc1C(=O)N1CC/C(=N\OS(=O)(=O)O)c2ccc(Cl)cc21,0,0,0,0,1,0,0,0,1
CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,1,0,1,1,0,1,1,0,1
O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,0,0,1,0,1,1,0,0,0
CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1,0,0,0,0,0,0,0,0,1
CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,0,0,1,1,0,0,1,0,1
CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,0,0,0,0,0,0,0,0,1
C[C@@H]1O[C@@]2(CS1)CN1CCC2CC1,0,0,0,0,1,0,1,0,1
CCC(=O)C(C[C@@H](C)N(C)C)(c1ccccc1)c1ccccc1,0,0,1,1,0,1,1,0,1
CN(C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,0,0,0,0,0,1,1,0,1
C/C=C/C[C@@H](C)C(=O)[C@H]1C(=O)N[C@@H](C(C)C)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,0,0,0,0,0,0,0,0,1
CN(C)CCCCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21,0,0,0,0,1,0,1,1,1
CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,1,0,0,1,0,1,1,0,1
CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,0,0,0,0,0,0,1,0,0
C[C@H]1Cc2c(Cl)cc(C(=O)N[C@@H](Cc3ccccc3)C(=O)O)c(O)c2C(=O)O1,1,0,0,0,1,0,0,0,1
COc1ccccc1C[C@@H](C)N,0,0,0,0,0,0,1,0,0
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,0,0,0,0,0,0,0,0,1
c1ccc2ncccc2c1,1,1,1,0,0,0,1,1,1
Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1,0,0,0,1,1,0,0,0,0
O=c1ccc2nc3ccc(OCOCc4ccccc4)cc3oc-2c1,0,0,0,0,1,0,0,0,0
Cc1ccc(O)c([C@H](CCN(C(C)C)C(C)C)c2ccccc2)c1,0,0,0,0,1,1,1,0,1
CNc1cccc(-c2ccnc3c(C(=O)c4cccs4)cnn23)c1,1,0,0,0,0,0,1,0,1
CC(C)(C)c1cc(C[C@@H]2SCNC2=O)cc(C(C)(C)C)c1O,0,0,0,0,0,0,0,0,1
Cc1nccn1C[C@@H]1CCc2c(c3ccccc3n2C)C1=O,1,0,0,0,0,0,1,0,0
CN(C(=O)c1c(O)c2ccccc2n(C)c1=O)c1ccccc1,0,0,0,0,0,0,0,0,1
Cc1cccc(Nc2ccccc2C(=O)O)c1C,0,0,0,0,1,0,0,0,0
CC(C)[C@]12CC(=O)[C@H](C)[C@H]1C2,0,0,0,0,0,0,0,0,1
CCN(CC)CC#CC(C)(C)OC(=O)[C@@](O)(c1ccccc1)C1CCCCC1,0,0,0,0,0,0,0,0,1
CN[C@@H](C)Cc1ccccc1OC,0,0,0,0,0,0,1,0,0
CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,0,0,0,0,0,0,0,0,1
O=NN1CCC[C@H]1c1cccnc1,0,1,0,0,0,0,1,1,1
O=[N+]([O-])c1cc2c3ccccc3ccc2c2ccccc12,1,0,0,0,0,0,0,1,1
COC(OC)[C@@]1(C)Oc2ccc(N)cc2[C@H](N(Cc2nnn(C)n2)c2ccc(Cl)cc2)[C@H]1O,1,0,1,1,1,1,1,1,1
CCCCCCCC/C=C\CCCCCCCC(=O)O,0,0,0,0,0,0,0,1,0
C[C@H](CN(C)C)CN1c2ccccc2CCc2ccccc21,0,0,0,0,0,1,1,0,0
CCc1cccc2c3c([nH]c12)[C@@](CC)(CC(=O)O)OCC3,0,0,0,0,1,0,0,0,0
CCOc1ccc(NC(C)=O)cc1,1,1,0,0,1,1,1,1,1
CNCC[C@H](Oc1ccccc1C)c1ccccc1,1,0,1,0,1,1,1,1,1
CCOCN(C(=O)CCl)c1c(C)cccc1CC,0,0,1,0,0,0,0,0,1
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,0,0,0,1,1,1,1,0,1
Cn1c(=O)c2c(ncn2C)n(C)c1=O,1,0,0,0,0,0,1,1,1
COc1ccc(-c2coc3cc(O)ccc3c2=O)cc1,1,1,1,0,1,1,1,0,0
C[C@H]1S[C@H](c2cccnc2)N(C)C1=O,0,1,0,0,0,0,0,0,0
CC[C@H]1OC[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C[C@H](C)[C@@H](O)[C@]1(C)O,0,0,0,0,0,0,0,0,1
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)[C@@H]1c1cccc(Cl)c1Cl,0,0,0,0,0,0,0,0,1
c1cnc(N2CCNCC2)nc1,0,0,0,0,0,0,1,0,0
C1CCN2C[C@@H]3C[C@@H](CN4CCCC[C@@H]34)[C@H]2C1,0,0,0,0,0,0,1,0,0
CC[C@H](c1ccccc1)c1c(O)c2ccccc2oc1=O,0,0,0,1,1,1,0,0,1
CC(=O)c1cc2ccccc2s1,1,0,1,0,0,0,0,1,1
COc1ccc(C(C)C)cc1CN[C@H]1C2CCN(CC2)[C@H]1C(c1ccccc1)c1ccccc1,0,0,0,0,0,0,1,0,1
CCC(C)(C)OC,0,1,0,0,0,0,0,1,0
CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,0,0,0,0,0,0,0,0,1
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,0,0,0,0,0,0,0,0,1
CNCCC[C@]12CC[C@H](c3ccccc31)c1ccccc12,1,0,0,0,0,0,1,0,0
CC[S@](=O)c1c(C#N)nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c1N,0,0,0,0,0,0,0,0,1
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O,0,0,0,1,1,0,0,0,0
CC(C)(C)c1ccc(C(=O)CCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,0,0,0,0,0,0,0,0,1
CC(C)N(CC[C@](C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,0,0,0,0,0,0,0,0,1
COc1c2occc2cc2ccc(=O)oc12,0,1,0,0,0,0,0,0,0
CCN(CC)CC#CCOC(=O)[C@@](O)(c1ccccc1)C1CCCCC1,0,0,0,0,0,0,0,0,1
CC(C)Oc1ccc2c(=O)c(-c3ccccc3)coc2c1,1,0,0,0,1,1,0,0,1
CCN(CC)N=O,1,1,1,1,1,1,1,1,1
CC[C@@H](Cc1ccc2c(c1)OCO2)NC,1,0,1,0,0,1,1,0,1
CCN(CC)C(=S)SC,1,1,1,0,0,0,0,1,1
CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O,1,1,1,1,1,1,1,1,1
CNC=O,0,0,0,0,0,0,0,1,0
CCOc1ccccc1OCCN[C@H](C)Cc1ccc(OC)c(S(N)(=O)=O)c1,0,0,0,0,0,0,1,0,1
CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@H](O)C[C@@H](O)CC(=O)O)[C@H]21,0,0,0,1,0,0,0,0,1
Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2ccc(Cl)cc21,0,0,0,0,1,1,0,0,1
Cc1cc(-c2ccccc2)nnc1NCCN1CCOCC1,0,0,0,0,0,0,1,0,0
CCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C,1,0,1,0,0,0,1,0,1
O=C(O[C@@H]1C[C@@H]2C[C@@H]3C[C@H](C1)N2C[C@H]3O)c1c[nH]c2ccccc12,0,0,0,0,0,0,1,0,1
O=Cc1c2ccccc2cc2ccccc12,0,1,1,0,0,1,0,1,1
C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@@H](O)[C@H]2C[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H](/C(C)=C/[C@@H]2CC[C@@H](O)[C@H](OC)C2)[C@H](C)[C@@H](O)CC1=O,0,0,0,0,0,0,0,0,1
C[C@H](C(=O)c1ccc2c(c1)OCO2)N1CCCC1,0,0,0,0,0,1,1,0,0
Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,0,0,0,0,0,0,1,0,1
CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CC,0,0,0,0,0,0,0,0,1
NC(=O)N1c2ccccc2C=Cc2ccccc21,1,0,0,1,0,0,0,0,1
COC(=O)[C@H](c1ccccc1Cl)N1CCC2=C(CC(=O)S2)C1,0,0,1,0,1,1,0,0,1
C/C=C/c1ccccc1,0,0,0,0,0,0,0,0,1
CNC(=O)Oc1cc(C)c(SC)c(C)c1,1,1,1,1,1,1,1,1,1
COc1ccc(C(=O)[C@H](C)N2CCCC2)cc1,0,0,0,0,0,1,1,0,0
Nc1c(Br)cc(Br)cc1CN[C@H]1CC[C@@H](O)CC1,0,0,0,0,0,0,0,0,1
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,0,0,0,0,0,0,0,0,1
CCOC(C)(C)C,0,1,0,0,0,0,0,1,0
CC[C@@H](C(=O)c1ccc(C)cc1)N1CCCC1,1,0,0,0,0,1,1,0,0
FC(F)(F)[C@H](Cl)Br,1,1,1,0,0,0,1,1,0
COc1ccc(N2CCc3c(NCCO)nc4c(OC(F)(F)F)cccc4c32)c(C)c1,1,0,0,0,1,1,1,0,1
OCCc1ccccc1Nc1c(Cl)cccc1Cl,1,0,0,1,1,1,1,0,1
CCCOc1ccc(S(=O)(=O)NCC[C@@H]2CCCN2C)cc1-c1nc2c(CCC)nn(C)c2c(=O)[nH]1,0,0,0,0,0,0,0,0,1
CCCCN(CCCC)CC[C@@H](O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12,0,0,0,1,0,0,0,0,1
Cn1c(N)nc2ncc(-c3ccccc3)cc21,1,0,0,0,0,0,0,0,0
O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,1,1,1,0,1,0,0,0,1
CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,1,1,1,1,1,1,1,1,1
CNCCC=C1c2ccccc2CCc2ccccc21,1,0,0,0,0,1,1,0,1
CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,0,0,0,0,0,0,0,0,1
CC(=O)Nc1ccc(OC(C)C)cc1,1,0,0,0,0,0,0,0,0
COc1cccc(C[C@@H](C)N)c1,0,0,0,0,0,0,1,0,0
C[C@H](N)Cc1cccc(C(F)(F)F)c1,1,0,0,0,0,0,0,0,0
c1ccoc1,0,0,0,0,0,0,0,1,0
CCOc1ccc2c(C(F)(F)F)cc(=O)oc2c1,1,0,1,0,1,1,0,1,0
Cn1c(=O)c2[nH]cnc2n(C)c1=O,1,1,1,0,0,0,1,1,1
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,1,0,0,1,1,1,0,0,1
Cn1c(N)nc2c3cccnc3ccc21,1,0,0,0,0,0,0,0,0
Cc1onc(-c2c(F)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,0,0,0,0,0,0,0,0,1
C/C=C(/C)C(=O)O[C@H]1Cc2cc3ccc(=O)oc3cc2OC1(C)C,0,1,0,0,0,0,0,0,0
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,0,0,0,0,0,0,1,0,1
CNC(=O)c1cccc(NCC(=O)NCCc2ccc(OC)c(OC)c2)c1,0,0,0,0,0,0,0,0,1
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,0,0,0,0,0,0,1,0,0
C1CCC(C(C[C@H]2CCCCN2)C2CCCCC2)CC1,0,0,1,0,0,0,1,0,1
C[C@H](NC(N)=O)c1cc2ccccc2s1,1,0,0,0,1,0,1,0,1
C[C@@H]1CO[C@@]2(c3ccccc3Cl)c3cc(Cl)ccc3NC(=O)CN12,0,0,0,0,0,0,0,0,1
Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,0,0,0,0,1,0,0,0,0
Cc1nn(C)c(Cl)c1C(=O)Nc1cccc2c1[C@@H](C)OC2(C)C,1,0,0,0,0,1,0,0,1
CNCCC[C@@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,0,0,0,0,0,0,1,0,0
Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCC[C@@H]2O,0,0,0,0,0,0,1,0,0
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@@H](O)[C@]12C,0,0,0,0,0,0,0,0,1
C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,0,0,0,0,1,1,0,0,1
Nc1c2c(nc3ccccc13)CCCC2,1,0,0,0,0,0,0,0,0
COC(=O)[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@@]23O[C@@H]2C[C@@]2(C)[C@@H](CC[C@@]24CCC(=O)O4)[C@H]13,0,0,0,0,0,0,0,0,1
CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,0,0,0,0,0,0,0,0,1
c1ccc(C2(c3ccccc3)C[C@@H]2C2=NCCN2)cc1,0,1,0,0,0,0,1,0,1
CCCCCOc1ccc2nc3ccc(=O)cc-3oc2c1,1,0,1,0,0,0,1,0,1
CCO,1,0,1,1,1,1,1,1,1
COc1ccc2c3c([nH]c2c1)C(C)=NCC3,1,0,0,0,0,0,1,0,0
CN[C@H](C)Cc1ccc2c(c1)OCO2,1,0,0,0,0,0,1,0,1
CCN(CC)CCC[C@@H](C)Nc1ccnc2cc(Cl)ccc12,0,0,0,1,0,0,1,0,1
CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC,0,0,1,0,0,0,0,0,1
Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1,0,0,0,0,1,0,0,0,1
C#C[C@]1(O)C=C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@H]4[C@H]3C(=C)C[C@@]21C,0,0,0,0,0,0,0,0,1
